timestamp,raw_acetone,raw_ammonia,corrected_acetone,corrected_ammonia,temperature,humidity,voc_index,voc_type,diabetes_stage,kidney_stage,hydration_status
2025-11-01 16:29:25,1.248712,3.171912,0.349,1.372,30.4,40.5,27.8,Endogenous,Normal,Normal,Dehydrated
2025-11-01 16:29:26,2.862,2.458824,1.962,0.659,29.6,39.9,81.3,Endogenous,Mild,Normal,Dehydrated
2025-11-01 16:29:27,2.249583,1.461922,1.35,-0.338,20.5,66.3,130.9,Endogenous,Mild,Normal,Hydrated
2025-11-01 16:29:28,1.876244,3.680698,0.976,1.881,26.8,40.0,109.8,Endogenous,Normal,Normal,Dehydrated
2025-11-01 16:29:29,0.636852,3.112817,-0.263,1.313,27.6,40.9,121.0,Endogenous,Normal,Normal,Dehydrated
2025-11-01 16:29:30,0.636785,0.815515,-0.263,-0.984,28.0,60.4,98.8,Endogenous,Normal,Normal,Hydrated
2025-11-01 16:29:31,0.362634,4.10808,-0.537,2.308,31.6,48.0,103.8,Endogenous,Normal,Mild,Hydrated
2025-11-01 16:29:32,2.625293,3.719164,1.725,1.919,30.7,61.1,127.4,Endogenous,Mild,Normal,Hydrated
2025-11-01 16:29:33,1.883122,4.27912,0.983,2.479,32.2,32.6,37.5,Endogenous,Normal,Mild,Dehydrated
2025-11-01 16:29:34,2.182603,3.293166,1.283,1.493,35.3,49.5,73.4,Endogenous,Mild,Normal,Hydrated
2025-11-01 16:29:35,0.257637,2.799027,-0.642,0.999,36.3,31.3,33.2,Endogenous,Normal,Normal,Dehydrated
2025-11-01 16:29:36,2.915748,1.940269,2.016,0.14,34.4,32.5,148.2,Endogenous,Mild,Normal,Dehydrated
2025-11-01 16:29:37,2.530839,4.204005,1.631,2.404,39.1,66.3,141.6,Endogenous,Mild,Mild,Hydrated
2025-11-01 16:29:38,0.79455,3.910681,-0.105,2.111,20.4,35.6,5.9,Endogenous,Normal,Mild,Dehydrated
2025-11-01 16:29:39,0.70911,0.298962,-0.191,-1.501,23.9,51.3,105.8,Endogenous,Normal,Normal,Hydrated
2025-11-01 16:29:40,0.713533,0.216015,-0.186,-1.584,20.2,46.4,138.8,Endogenous,Normal,Normal,Hydrated
2025-11-01 16:29:41,1.051878,1.756439,0.152,-0.044,32.9,43.9,27.1,Endogenous,Normal,Normal,Dehydrated
2025-11-01 16:29:42,1.669318,3.666435,0.769,1.866,38.0,66.0,85.2,Endogenous,Normal,Normal,Hydrated
2025-11-01 16:29:43,1.409446,4.444015,0.509,2.644,24.9,30.9,137.3,Endogenous,Normal,Mild,Dehydrated
2025-11-01 16:29:44,1.015442,0.761834,0.115,-1.038,38.5,56.6,5.1,Endogenous,Normal,Normal,Hydrated
2025-11-01 16:29:45,1.913188,2.714175,1.013,0.914,21.2,68.5,104.6,Endogenous,Mild,Normal,Hydrated
2025-11-01 16:29:46,0.590583,1.77592,-0.309,-0.024,38.7,52.4,44.6,Endogenous,Normal,Normal,Hydrated
2025-11-01 16:29:47,1.018005,4.367623,0.118,2.568,27.0,67.5,138.7,Endogenous,Normal,Mild,Hydrated
2025-11-01 16:29:48,1.225813,3.805323,0.326,2.005,22.0,32.1,145.7,Endogenous,Normal,Mild,Dehydrated
2025-11-01 16:29:49,1.476996,3.788646,0.577,1.989,29.7,46.8,141.6,Endogenous,Normal,Normal,Hydrated
2025-11-01 16:29:50,2.398493,2.16225,1.498,0.362,25.1,40.4,71.1,Endogenous,Mild,Normal,Dehydrated
2025-11-01 16:29:51,0.759087,1.925206,-0.141,0.125,25.7,59.2,129.3,Endogenous,Normal,Normal,Hydrated
2025-11-01 16:29:52,1.639856,1.302991,0.74,-0.497,26.1,69.3,126.7,Endogenous,Normal,Normal,Hydrated
2025-11-01 16:29:53,1.858761,0.348052,0.959,-1.452,36.1,40.3,47.9,Endogenous,Normal,Normal,Dehydrated
2025-11-01 16:29:54,0.330061,3.904778,-0.57,2.105,30.8,56.2,124.3,Endogenous,Normal,Mild,Hydrated
2025-11-01 16:29:55,1.901126,3.676764,1.001,1.877,26.2,37.9,5.6,Endogenous,Mild,Normal,Dehydrated
2025-11-01 16:29:56,0.677468,4.498758,-0.223,2.699,32.2,52.6,89.4,Endogenous,Normal,Mild,Hydrated
2025-11-01 16:29:57,0.382144,4.485202,-0.518,2.685,34.3,48.6,34.5,Endogenous,Normal,Mild,Hydrated
2025-11-01 16:29:58,2.85688,2.5439,1.957,0.744,25.5,68.9,18.1,Endogenous,Mild,Normal,Hydrated
2025-11-01 16:29:59,2.90377,3.483545,2.004,1.684,28.3,54.3,11.5,Endogenous,Mild,Normal,Dehydrated
2025-11-01 16:30:00,2.463513,4.256969,1.564,2.457,22.4,44.0,104.4,Endogenous,Mild,Mild,Dehydrated
2025-11-01 16:30:01,1.052919,3.838449,0.153,2.038,23.6,34.6,51.0,Endogenous,Normal,Mild,Dehydrated
2025-11-01 16:30:02,0.473482,1.188332,-0.427,-0.612,33.6,36.0,108.7,Endogenous,Normal,Normal,Dehydrated
2025-11-01 16:30:03,2.115852,2.082394,1.216,0.282,23.6,39.0,9.8,Endogenous,Mild,Normal,Dehydrated
2025-11-01 16:30:04,1.432427,0.668301,0.532,-1.132,30.5,40.0,47.3,Endogenous,Normal,Normal,Dehydrated
2025-11-01 16:30:05,0.541707,4.297825,-0.358,2.498,34.2,64.0,80.9,Endogenous,Normal,Mild,Hydrated
2025-11-01 16:30:06,1.586495,2.767168,0.686,0.967,22.1,52.4,118.6,Endogenous,Normal,Normal,Hydrated
